cur_alternate_com_name,sci_name
Hybride Harle piette x H. couronne,Mergellus albellus x Lophodytes cucullatus
Harle austral,Mergus australis
Grand Harle,Mergus merganser
Grand Harle (merganser/orientalis),Mergus merganser merganser/orientalis
Grand Harle (americanus),Mergus merganser americanus
Hybride Eider a duvet x Grand Harle,Somateria mollissima x Mergus merganser
Hybride Harle couronne x Grand Harle,Lophodytes cucullatus x Mergus merganser
Harle huppard,Mergus octosetaceus
Harle huppe,Mergus serrator
Hybride Fuligule a collier x Harle huppe,Aythya collaris x Mergus serrator
Hybride Grand Harle x H. huppe,Mergus merganser x serrator
Grand Harle ou H. huppe,Mergus merganser/serrator
Harle de Chine,Mergus squamatus
Harle sp.,Mergellus/Lophodytes/Mergus sp.
Heteronette a tete noire,Heteronetta atricapilla
erismature routoutou,Nomonyx dominicus
erismature rousse,Oxyura jamaicensis
erismature des Andes,Oxyura ferruginea
erismature des Andes (andina),Oxyura ferruginea andina
erismature des Andes (ferruginea),Oxyura ferruginea ferruginea
erismature routoutou ou e. rousse,Nomonyx dominicus/Oxyura jamaicensis
erismature a tete blanche,Oxyura leucocephala
Hybride erismature rousse x e. a tete blanche,Oxyura jamaicensis x leucocephala
erismature maccoa,Oxyura maccoa
erismature ornee,Oxyura vittata
erismature rousse ou e. ornee,Oxyura ferruginea/vittata
erismature australe,Oxyura australis
erismature a barbillons,Biziura lobata
Anatide sp.,Anatinae sp.
Sauvagine sp.,Anatidae sp.
Talegalle de Latham,Alectura lathami
Talegalle des Arfak,Aepypodius arfakianus
Talegalle de Bruijn,Aepypodius bruijnii
Talegalle de Cuvier,Talegalla cuvieri
Talegalle a bec fonce,Talegalla fuscirostris
Talegalle de Jobi,Talegalla jobiensis
Talegalla sp.,Talegalla sp.
Leipoa ocelle,Leipoa ocellata
Megapode maleo,Macrocephalon maleo
Megapode de Wallace,Eulipoa wallacei
Megapode de Pritchard,Megapodius pritchardii
Megapode de La Perouse,Megapodius laperouse
Megapode des Nicobar,Megapodius nicobariensis
