species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
tattin1,avibase-9C7F2C57,127,species,Tataupa Tinamou,Tinamou tataupa,Crypturellus tataupa,fr
cryptu1,avibase-C2342750,132,spuh,Crypturellus sp.,Crypturellus sp.,Crypturellus sp.,fr
rewtin1,avibase-C141F60A,133,species,Red-winged Tinamou,Tinamou isabelle,Rhynchotus rufescens,fr
huatin1,avibase-94AF5DC7,137,species,Huayco Tinamou,Tinamou huayco,Rhynchotus maculicollis,fr
tactin1,avibase-368EC295,138,species,Taczanowski's Tinamou,Tinamou de Taczanowski,Nothoprocta taczanowskii,fr
orntin1,avibase-286A2FBA,139,species,Ornate Tinamou,Tinamou orne,Nothoprocta ornata,fr
chitin1,avibase-F900EE88,143,species,Chilean Tinamou,Tinamou perdrix,Nothoprocta perdicaria,fr
brutin1,avibase-4C8BCEC2,146,species,Brushland Tinamou,Tinamou sauvageon,Nothoprocta cinerascens,fr
andtin1,avibase-7A66539A,149,species,Andean Tinamou,Tinamou des Andes,Nothoprocta pentlandii,fr
cubtin1,avibase-F68CA24D,157,species,Curve-billed Tinamou,Tinamou curvirostre,Nothoprocta curvirostris,fr
nothop1,avibase-D8C989EB,160,spuh,Nothoprocta sp.,Nothoprocta sp.,Nothoprocta sp.,fr
whbnot1,avibase-458340C7,161,species,White-bellied Nothura,Tinamou boraquira,Nothura boraquira,fr
lesnot1,avibase-99D7964C,162,species,Lesser Nothura,Petit Tinamou,Nothura minor,fr
darnot1,avibase-F7D16275,163,species,Darwin's Nothura,Tinamou de Darwin,Nothura darwinii,fr
sponot1,avibase-03C3DDFB,169,species,Spotted Nothura,Tinamou tachete,Nothura maculosa,fr
dwatin1,avibase-B62C4561,179,species,Dwarf Tinamou,Tinamou carape,Taoniscus nanus,fr
elctin1,avibase-4E215E82,180,species,Elegant Crested-Tinamou,Tinamou elegant,Eudromia elegans,fr
quctin1,avibase-9337459C,191,species,Quebracho Crested-Tinamou,Tinamou superbe,Eudromia formosa,fr
puntin1,avibase-0A51B426,194,species,Puna Tinamou,Tinamou quioula,Tinamotis pentlandii,fr
pattin1,avibase-EC451D91,195,species,Patagonian Tinamou,Tinamou de Patagonie,Tinamotis ingoufi,fr
tinamo1,avibase-1C80D150,196,spuh,tinamou sp.,Tinamou sp.,Tinamidae sp.,fr
soucas1,avibase-8B9D93D8,197,species,Southern Cassowary,Casoar a casque,Casuarius casuarius,fr
dwacas1,avibase-7751E0D1,198,species,Dwarf Cassowary,Casoar de Bennett,Casuarius bennetti,fr
norcas1,avibase-32E7303B,199,species,Northern Cassowary,Casoar unicaroncule,Casuarius unappendiculatus,fr
emu1,avibase-FD2456D5,200,species,Emu,emeu d'Australie,Dromaius novaehollandiae,fr
sobkiw1,avibase-6BA55EF0,205,species,Southern Brown Kiwi,Kiwi austral,Apteryx australis,fr
sobkiw2,avibase-542125A3,206,issf,Southern Brown Kiwi (South I.),Kiwi austral (australis),Apteryx australis australis,fr
