"","family","year","n"
"122","Fringillidae",2010,1653735
"123","Troglodytidae",2013,896097
"124","Acrocephalidae",2017,277231
"125","Fringillidae",2011,1677963
"126","Sturnidae",2009,512894
"127","Paridae",2009,1421945
"128","Oriolidae",2019,146356
"129","Apodidae",2016,440891
"130","Tytonidae",2018,37033
"131","Recurvirostridae",2009,68444
"132","Sylviidae",2017,509561
"133","Accipitridae",2011,1398986
"134","Oriolidae",2017,118264
"135","Acrocephalidae",2011,187106
"136","Emberizidae",2013,2907750
"137","Motacillidae",2016,723350
"138","Motacillidae",2011,401361
"139","Alaudidae",2009,141809
"140","Rallidae",2019,1570142
"141","Passeridae",2016,1107543
"142","Strigidae",2011,180269
"143","Turdidae",2012,1612761
"144","Corvidae",2017,5528661
"145","Falconidae",2016,921194
"146","Motacillidae",2010,380505
"147","Sittidae",2016,1046213
"148","Ciconiidae",2017,206131
"149","Ardeidae",2018,4082992
"150","Columbidae",2013,1959678
"151","Caprimulgidae",2018,163597
"152","Accipitridae",2016,3341362
"153","Prunellidae",2011,75062
"154","Emberizidae",2016,4721796
"155","Accipitridae",2010,1148041
"156","Laniidae",2009,102595
"157","Laridae",2019,4974412
"158","Accipitridae",2018,4630905
"159","Emberizidae",2009,1229722
"160","Prunellidae",2013,89799
"161","Alcedinidae",2019,1000749
"162","Burhinidae",2010,9105
"163","Fringillidae",2017,4213499
"164","Passeridae",2017,1326687
"165","Laridae",2010,1233139
"166","Corvidae",2012,2221116
"167","Aegithalidae",2016,212063
"168","Picidae",2017,4352930
"169","Acrocephalidae",2009,183293
"170","Sittidae",2018,1521810
"171","Emberizidae",2019,7662724
"172","Phylloscopidae",2013,336504
"173","Hirundinidae",2016,1987501
"174","Sturnidae",2019,2368829
"175","Sturnidae",2010,462298
"176","Locustellidae",2013,30077
"177","Emberizidae",2018,6778571
"178","Psittacidae",2018,1022170
"179","Ciconiidae",2009,46709
"180","Troglodytidae",2017,1878283
"181","Columbidae",2012,1613240
"182","Columbidae",2011,1272002
"183","Strigidae",2016,391110
"184","Apodidae",2009,134895
"185","Regulidae",2019,883882
"186","Rallidae",2013,648107
"187","Phylloscopidae",2009,274968
"188","Apodidae",2018,672773
"189","Ardeidae",2016,2908033
"190","Ciconiidae",2018,255273
"191","Motacillidae",2019,1063424
"192","Picidae",2012,1781520
"193","Troglodytidae",2009,436484
"194","Falconidae",2019,1337020
"195","Columbidae",2017,4141651
"196","Cinclidae",2016,36290
"197","Strigidae",2010,166140
"198","Podicipedidae",2019,1112385
