"","english_name","french_name","sci_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"11062","Yellow-breasted Apalis (Brown-tailed)","Apalis a gorge jaune (flavocincta/viridiceps)","Apalis flavida flavocincta/viridiceps","Apalis Pechigualdo (flavocincta/viridiceps)",NA,NA,NA,NA,NA,NA
"11063","Yellow-breasted Apalis (Yellow-breasted)","Apalis a gorge jaune (groupe flavida)","Apalis flavida [flavida Group]","Apalis Pechigualdo (grupo flavida)",NA,NA,NA,NA,NA,NA
"11064","Rudd's Apalis","Apalis de Rudd","Apalis ruddi","Apalis de Rudd",NA,NA,NA,NA,NA,NA
"11065","Sharpe's Apalis","Apalis de Sharpe","Apalis sharpii","Apalis de Sharpe",NA,NA,NA,NA,NA,NA
"11066","Buff-throated Apalis","Apalis a gorge rousse","Apalis rufogularis","Apalis Gorjirrufo",NA,NA,NA,NA,NA,NA
"11067","Buff-throated Apalis (Black-breasted)","Apalis a gorge rousse (rufogularis/sanderi)","Apalis rufogularis rufogularis/sanderi","Apalis Gorjirrufo (rufogularis/sanderi)",NA,NA,NA,NA,NA,NA
"11068","Buff-throated Apalis (Angola)","Apalis a gorge rousse (angolensis/brauni)","Apalis rufogularis angolensis/brauni","Apalis Gorjirrufo (angolensis/brauni)",NA,NA,NA,NA,NA,NA
"11069","Buff-throated Apalis (Buff-throated)","Apalis a gorge rousse (nigrescens/kigezi)","Apalis rufogularis nigrescens/kigezi","Apalis Gorjirrufo (nigrescens/kigezi)",NA,NA,NA,NA,NA,NA
"11070","Kungwe Apalis","Apalis de Moreau","Apalis argentea","Apalis de Moreau",NA,NA,NA,NA,NA,NA
"11071","Bamenda Apalis","Apalis de Bamenda","Apalis bamendae","Apalis de Bamenda",NA,NA,NA,NA,NA,NA
"11072","Gosling's Apalis","Apalis de Gosling","Apalis goslingi","Apalis de Gosling",NA,NA,NA,NA,NA,NA
"11073","Kabobo Apalis","Apalis du Kabobo","Apalis kaboboensis","Apalis de Kabobo",NA,NA,NA,NA,NA,NA
"11074","Chestnut-throated Apalis","Apalis a gorge marron","Apalis porphyrolaema","Apalis Gorjicastano",NA,NA,NA,NA,NA,NA
"11075","Chapin's Apalis","Apalis de Chapin","Apalis chapini","Apalis de Chapin",NA,NA,NA,NA,NA,NA
"11076","Black-headed Apalis","Apalis a tete noire","Apalis melanocephala","Apalis Cabecinegro",NA,NA,NA,NA,NA,NA
"11077","Chirinda Apalis","Apalis de Chirinda","Apalis chirindensis","Apalis del Chirinda",NA,NA,NA,NA,NA,NA
"11078","Gray Apalis","Apalis cendree","Apalis cinerea","Apalis Gris",NA,NA,NA,NA,NA,NA
"11079","Gray Apalis (Sclater's)","Apalis cendree (sclateri)","Apalis cinerea sclateri","Apalis Gris (sclateri)",NA,NA,NA,NA,NA,NA
"11080","Gray Apalis (Angola)","Apalis cendree (grandis)","Apalis cinerea grandis","Apalis Gris (grandis)",NA,NA,NA,NA,NA,NA
"11081","Gray Apalis (Gray)","Apalis cendree (cinerea/funebris)","Apalis cinerea cinerea/funebris","Apalis Gris (cinerea/funebris)",NA,NA,NA,NA,NA,NA
"11082","Brown-headed Apalis","Apalis a tete brune","Apalis alticola","Apalis Cabecipardo",NA,NA,NA,NA,NA,NA
"11083","Karamoja Apalis","Apalis du Karamoja","Apalis karamojae","Apalis de Karamoja",610,2.74,NA,NA,NA,NA
"11084","apalis sp.","Apalis sp.","Apalis sp.","Apalis sp.",NA,NA,NA,NA,NA,NA
"11085","Common Tailorbird","Couturiere a longue queue","Orthotomus sutorius","Sastrecillo Comun",3999,17.93,NA,NA,621,2.8
"11086","Rufous-fronted Tailorbird","Couturiere a front roux","Orthotomus frontalis","Sastrecillo Frentirrufo",NA,NA,NA,NA,NA,NA
"11087","Dark-necked Tailorbird","Couturiere a col noir","Orthotomus atrogularis","Sastrecillo Cuellinegro",367,1.65,NA,NA,NA,NA
"11088","Cambodian Tailorbird","Couturiere du Cambodge","Orthotomus chaktomuk","Sastrecillo de Camboya",267,1.2,NA,NA,NA,NA
"11089","Ashy Tailorbird","Couturiere a tete rousse","Orthotomus ruficeps","Sastrecillo Ceniciento",2025,9.08,NA,NA,NA,NA
"11090","Olive-backed Tailorbird","Couturiere a dos vert","Orthotomus sepium","Sastrecillo de Java",NA,NA,NA,NA,NA,NA
"11091","Rufous-tailed Tailorbird","Couturiere a queue rousse","Orthotomus sericeus","Sastrecillo Colirrufo",NA,NA,NA,NA,NA,NA
"11092","Visayan Tailorbird","Couturiere a calotte rousse","Orthotomus castaneiceps","Sastrecillo Filipino",NA,NA,NA,NA,NA,NA
"11093","Gray-backed Tailorbird","Couturiere de Luçon","Orthotomus derbianus","Sastrecillo de Luzon",NA,NA,NA,NA,NA,NA
"11094","Green-backed Tailorbird","Couturiere d'Ogilvie-Grant","Orthotomus chloronotus","Sastrecillo Dorsiverde",NA,NA,NA,NA,NA,NA
"11095","Yellow-breasted Tailorbird","Couturiere de Samar","Orthotomus samarensis","Sastrecillo de Samar",NA,NA,NA,NA,NA,NA
"11096","White-browed Tailorbird","Couturiere a tete noire","Orthotomus nigriceps","Sastrecillo Cabecinegro",NA,NA,NA,NA,NA,NA
"11097","White-eared Tailorbird","Couturiere oreillarde","Orthotomus cinereiceps","Sastrecillo Orejiblanco",NA,NA,NA,NA,NA,NA
"11098","tailorbird sp.","Orthotomus sp.","Orthotomus sp.","Orthotomus sp.",NA,NA,NA,NA,NA,NA
"11099","Himalayan Prinia","Prinia crinigere","Prinia crinigera","Prinia del Himalaya",NA,NA,NA,NA,NA,NA
"11100","Striped Prinia","Prinia de Swinhoe","Prinia striata","Prinia Estriada",NA,NA,NA,NA,NA,NA
"11101","Burmese Prinia","Prinia de Cook","Prinia cooki","Prinia de Birmania",NA,NA,NA,NA,NA,NA
"11102","Annam Prinia","Prinia de Rock","Prinia rocki","Prinia de Langbian",NA,NA,NA,NA,NA,NA
"11103","Brown Prinia","Prinia des montagnes","Prinia polychroa","Prinia Parda",NA,NA,NA,NA,NA,NA
"11104","Burmese/Brown Prinia","Prinia de Cook ou P. des montagnes","Prinia cooki/polychroa","Prinia de Birmania/Parda",NA,NA,NA,NA,NA,NA
"11105","Black-throated Prinia","Prinia a gorge noire","Prinia atrogularis","Prinia Gorjinegra",NA,NA,NA,NA,NA,NA
"11106","Black-throated Prinia (Black-throated)","Prinia a gorge noire (atrogularis)","Prinia atrogularis atrogularis","Prinia Gorjinegra (atrogularis)",NA,NA,NA,NA,NA,NA
"11107","Black-throated Prinia (Rufous-crowned)","Prinia a gorge noire (khasiana)","Prinia atrogularis khasiana","Prinia Gorjinegra (khasiana)",NA,NA,NA,NA,NA,NA
"11108","Hill Prinia","Prinia a sourcils","Prinia superciliaris","Prinia Montana",1330,5.96,NA,NA,NA,NA
"11109","Gray-crowned Prinia","Prinia a calotte grise","Prinia cinereocapilla","Prinia Coronigris",NA,NA,NA,NA,NA,NA
"11110","Rufous-fronted Prinia","Prinia a front roux","Prinia buchanani","Prinia Frentirrufa",NA,NA,NA,NA,NA,NA
"11111","Rufescent Prinia","Prinia roussatre","Prinia rufescens","Prinia Rojiza",NA,NA,NA,NA,NA,NA
"11112","Gray-breasted Prinia","Prinia de Hodgson","Prinia hodgsonii","Prinia de Hodgson",NA,NA,NA,NA,NA,NA
"11113","Bar-winged Prinia","Prinia bifasciee","Prinia familiaris","Prinia Alibarrada",490,2.2,NA,NA,NA,NA
"11114","Graceful Prinia","Prinia gracile","Prinia gracilis","Prinia Gracil",1036,4.65,NA,NA,NA,NA
"11115","Delicate Prinia","Prinia delicate","Prinia lepida","Prinia Delicada",NA,NA,NA,NA,NA,NA
"11116","Graceful/Delicate Prinia","Prinia gracile ou P. delicate","Prinia gracilis/lepida","Prinia Gracil/Delicada",NA,NA,NA,NA,NA,NA
"11117","Jungle Prinia","Prinia forestiere","Prinia sylvatica","Prinia Selvatica",708,3.17,NA,NA,NA,NA
"11118","Yellow-bellied Prinia","Prinia a ventre jaune","Prinia flaviventris","Prinia Ventriamarilla",NA,NA,NA,NA,NA,NA
"11119","Yellow-bellied Prinia (Yellow-bellied)","Prinia a ventre jaune (groupe flaviventris)","Prinia flaviventris [flaviventris Group]","Prinia Ventriamarilla (grupo flaviventris)",NA,NA,NA,NA,NA,NA
"11120","Yellow-bellied Prinia (Chinese)","Prinia a ventre jaune (sonitans)","Prinia flaviventris sonitans","Prinia Ventriamarilla (sonitans)",NA,NA,NA,NA,NA,NA
"11121","Ashy Prinia","Prinia cendree","Prinia socialis","Prinia Cenicienta",4984,22.35,NA,NA,NA,NA
"11122","Yellow-bellied/Ashy Prinia","Prinia a ventre jaune ou P. cendree","Prinia flaviventris/socialis","Prinia Ventriamarilla/Cenicienta",NA,NA,NA,NA,NA,NA
"11123","Tawny-flanked Prinia","Prinia modeste","Prinia subflava","Prinia Modesta",672,3.01,NA,NA,NA,NA
"11124","Plain Prinia","Prinia simple","Prinia inornata","Prinia Sencilla",3239,14.52,NA,NA,NA,NA
"11125","Pale Prinia","Prinia pale","Prinia somalica","Prinia Somali",NA,NA,NA,NA,NA,NA
"11126","River Prinia","Prinia aquatique","Prinia fluviatilis","Prinia Fluvial",NA,NA,NA,NA,NA,NA
"11127","Black-chested Prinia","Prinia a plastron","Prinia flavicans","Prinia Pechinegra",NA,NA,NA,NA,NA,NA
"11128","Karoo Prinia","Prinia du Karoo","Prinia maculosa","Prinia del Karoo",NA,NA,NA,NA,NA,NA
"11129","Drakensberg Prinia","Prinia du Drakensberg","Prinia hypoxantha","Prinia del Drakensberg",NA,NA,NA,NA,NA,NA
"11130","Sao Tome Prinia","Prinia de Sao Tome","Prinia molleri","Prinia de Santo Tome",NA,NA,NA,NA,NA,NA
"11131","Banded Prinia","Prinia rayee","Prinia bairdii","Prinia Barrada",NA,NA,NA,NA,NA,NA
"11132","Banded Prinia (Banded)","Prinia rayee (bairdii/heinrichi)","Prinia bairdii bairdii/heinrichi","Prinia Barrada (bairdii/heinrichi)",NA,NA,NA,NA,NA,NA
"11133","Banded Prinia (Black-faced)","Prinia rayee (melanops/obscura)","Prinia bairdii melanops/obscura","Prinia Barrada (melanops/obscura)",NA,NA,NA,NA,NA,NA
"11134","Red-winged Prinia","Prinia a ailes rousses","Prinia erythroptera","Prinia Alirroja",NA,NA,NA,NA,NA,NA
"11135","Red-fronted Prinia","Prinia de Ruppell","Prinia rufifrons","Prinia Frentirroja",NA,NA,NA,NA,NA,NA
"11136","Red-fronted Prinia (Red-fronted)","Prinia de Ruppell (rufifrons/smithi)","Prinia rufifrons rufifrons/smithi","Prinia Frentirroja (rufifrons/smithi)",NA,NA,NA,NA,NA,NA
"11137","Red-fronted Prinia (Rufous-backed)","Prinia de Ruppell (rufidorsalis)","Prinia rufifrons rufidorsalis","Prinia Frentirroja (rufidorsalis)",NA,NA,NA,NA,NA,NA
"11138","prinia sp.","Prinia sp.","Prinia sp.","Prinia sp.",NA,NA,NA,NA,NA,NA
"11139","Kopje Warbler","Cisticole cannelle","Euryptila subcinnamomea","Camaroptera Canela",NA,NA,NA,NA,NA,NA
"11140","Mrs. Moreau's Warbler","Cisticole de Winifred","Scepomycter winifredae","Prinia de Winifred",NA,NA,NA,NA,NA,NA
"11141","Mrs. Moreau's Warbler (Mrs. Moreau's)","Cisticole de Winifred (winifredae)","Scepomycter winifredae winifredae","Prinia de Winifred (winifredae)",NA,NA,NA,NA,NA,NA
"11142","Mrs. Moreau's Warbler (Rubeho)","Cisticole de Winifred (rubehoensis)","Scepomycter winifredae rubehoensis","Prinia de Winifred (rubehonensis)",NA,NA,NA,NA,NA,NA
"11143","Socotra Warbler","Cisticole pale","Incana incana","Prinia de Socotra",NA,NA,NA,NA,NA,NA
"11144","Rufous-eared Warbler","Cisticole a joues rousses","Malcorus pectoralis","Prinia Carirrufa",NA,NA,NA,NA,NA,NA
"11145","Black-capped Rufous-Warbler","Bathmocerque a capuchon","Bathmocercus cerviniventris","Prinia Cabecinegra",NA,NA,NA,NA,NA,NA
"11146","Black-faced Rufous-Warbler","Bathmocerque a face noire","Bathmocercus rufus","Prinia Carinegra",NA,NA,NA,NA,NA,NA
"11147","Oriole Warbler","Noircap loriot","Hypergerus atriceps","Prinia Oropendola",2635,11.82,NA,NA,NA,NA
"11148","Gray-capped Warbler","eminie a calotte grise","Eminia lepida","Eminia",NA,NA,NA,NA,4061,18.29
"11149","Red-faced Cisticola","Cisticole a face rousse","Cisticola erythrops","Cisticola Carirrojo",NA,NA,NA,NA,NA,NA
"11150","Red-faced Cisticola (Red-faced)","Cisticole a face rousse (groupe erythrops)","Cisticola erythrops [erythrops Group]","Cisticola Carirrojo (grupo erythrop)",NA,NA,NA,NA,NA,NA
"11151","Red-faced Cisticola (Lepe)","Cisticole a face rousse (lepe)","Cisticola erythrops lepe","Cisticola Carirrojo (lepe)",NA,NA,NA,NA,NA,NA
"11152","Singing Cisticola","Cisticole chanteuse","Cisticola cantans","Cisticola Cantor",NA,NA,NA,NA,NA,NA
"11153","Whistling Cisticola","Cisticole siffleuse","Cisticola lateralis","Cisticola Silbador",NA,NA,NA,NA,NA,NA
"11154","Chattering Cisticola","Cisticole babillarde","Cisticola anonymus","Cisticola Charlatan",NA,NA,NA,NA,NA,NA
"11155","Trilling Cisticola","Cisticole de Woosnam","Cisticola woosnami","Cisticola de Woosnam",NA,NA,NA,NA,NA,NA
"11156","Bubbling Cisticola","Cisticole murmure","Cisticola bulliens","Cisticola Murmurador",NA,NA,NA,NA,NA,NA
"11157","Chubb's Cisticola","Cisticole de Chubb","Cisticola chubbi","Cisticola de Chubb",NA,NA,NA,NA,NA,NA
"11158","Chubb's Cisticola (Discolored)","Cisticole de Chubb (discolor/adametzi)","Cisticola chubbi discolor/adametzi","Cisticola de Chubb (discolor/adametzi)",NA,NA,NA,NA,NA,NA
"11159","Chubb's Cisticola (Chubb's)","Cisticole de Chubb (chubbi/marungensis)","Cisticola chubbi chubbi/marungensis","Cisticola de Chubb (chubbi/marungensis)",NA,NA,NA,NA,NA,NA
"11160","Hunter's Cisticola","Cisticole de Hunter","Cisticola hunteri","Cisticola de Hunter",NA,NA,NA,NA,NA,NA
"11161","Black-lored Cisticola","Cisticole masquee","Cisticola nigriloris","Cisticola Enmascarado",NA,NA,NA,NA,NA,NA
"11162","Kilombero Cisticola","Cisticole des Baker","Cisticola bakerorum","Cisticola Kilombero",NA,NA,NA,NA,NA,NA
"11163","Rock-loving Cisticola","Cisticole paresseuse","Cisticola aberrans","Cisticola Perezoso",NA,NA,NA,NA,NA,NA
"11164","Rock-loving Cisticola (Rock-loving)","Cisticole paresseuse (groupe emini)","Cisticola aberrans [emini Group]","Cisticola Perezoso (emini)",NA,NA,NA,NA,NA,NA
"11165","Rock-loving Cisticola (Huambo)","Cisticole paresseuse (bailunduensis)","Cisticola aberrans bailunduensis","Cisticola Perezoso (Huambo)",NA,NA,NA,NA,NA,NA
"11166","Rock-loving Cisticola (Lazy)","Cisticole paresseuse (groupe aberrans)","Cisticola aberrans [aberrans Group]","Cisticola Perezoso (aberrans)",NA,NA,NA,NA,NA,NA
"11167","Boran Cisticola","Cisticole des Borans","Cisticola bodessa","Cisticola Boran",NA,NA,NA,NA,NA,NA
"11168","Rattling Cisticola","Cisticole grinçante","Cisticola chiniana","Cisticola Cascabel",NA,NA,NA,NA,NA,NA
"11169","Ashy Cisticola","Cisticole cendree","Cisticola cinereolus","Cisticola Ceniciento",NA,NA,NA,NA,NA,NA
"11170","Red-pate Cisticola","Cisticole a tete rousse","Cisticola ruficeps","Cisticola Cabecirrojo",NA,NA,NA,NA,NA,NA
"11171","Dorst's Cisticola","Cisticole de Dorst","Cisticola guinea","Cisticola de Dorst",NA,NA,NA,NA,NA,NA
"11172","Tinkling Cisticola","Cisticole grise","Cisticola rufilatus","Cisticola Gris",NA,NA,NA,NA,NA,NA
"11173","Red-headed Cisticola","Cisticole a dos gris","Cisticola subruficapilla","Cisticola Dorsigris",NA,NA,NA,NA,NA,NA
"11174","Red-headed Cisticola (Namib)","Cisticole a dos gris (newtoni)","Cisticola subruficapilla newtoni","Cisticola Dorsigris (newtoni)",NA,NA,NA,NA,NA,NA
"11175","Red-headed Cisticola (Red-headed)","Cisticole a dos gris (groupe subruficapilla)","Cisticola subruficapilla [subruficapilla Group]","Cisticola Dorsigris (grupo subruficapilla)",NA,NA,NA,NA,NA,NA
"11176","Red-headed Cisticola (Plain-breasted)","Cisticole a dos gris (jamesi)","Cisticola subruficapilla jamesi","Cisticola Dorsigris (jamesi)",NA,NA,NA,NA,NA,NA
"11177","Wailing Cisticola","Cisticole plaintive","Cisticola lais","Cisticola Planidero",NA,NA,NA,NA,NA,NA
"11178","Wailing Cisticola (Lynes's)","Cisticole plaintive (distinctus)","Cisticola lais distinctus","Cisticola Planidero (distinctus)",NA,NA,NA,NA,NA,NA
"11179","Wailing Cisticola (Wailing)","Cisticole plaintive (groupe lais)","Cisticola lais [lais Group]","Cisticola Planidero (grupo lais)",NA,NA,NA,NA,NA,NA
"11180","Tana River Cisticola","Cisticole du Tana","Cisticola restrictus","Cisticola del Tana",NA,NA,NA,NA,NA,NA
"11181","Churring Cisticola","Cisticole njombe","Cisticola njombe","Cisticola de Njombe",NA,NA,NA,NA,NA,NA
"11182","Coastal Cisticola","Cisticole côtiere","Cisticola haematocephalus","Cisticola Costero",NA,NA,NA,NA,NA,NA
"11183","White-tailed Cisticola","Cisticole d'Andersen","Cisticola anderseni","Cisticola Coliblanco",NA,NA,NA,NA,NA,NA
"11184","Luapula Cisticola","Cisticole du Luapula","Cisticola luapula","Cisticola de Luapula",NA,NA,NA,NA,NA,NA
"11185","Chirping Cisticola","Cisticole pepiante","Cisticola pipiens","Cisticola Gorjeador",NA,NA,NA,NA,NA,NA
"11186","Ethiopian Cisticola","Cisticole d'ethiopie","Cisticola lugubris","Cisticola Etiope",NA,NA,NA,NA,NA,NA
"11187","Winding Cisticola","Cisticole du Nil","Cisticola marginatus","Cisticola del Nilo",NA,NA,NA,NA,NA,NA
"11188","Winding/Coastal/Luapula Cisticola","Cisticole roussatre, C. côtiere ou C. du Luapula","Cisticola marginatus/haematocephalus/luapula","Cisticola del Nilo/Costero/de Luapula",NA,NA,NA,NA,NA,NA
"11189","Rufous-winged Cisticola","Cisticole roussatre","Cisticola galactotes","Cisticola Herrumbroso",NA,NA,NA,NA,NA,NA
"11190","Carruthers's Cisticola","Cisticole de Carruthers","Cisticola carruthersi","Cisticola de Carruthers",NA,NA,NA,NA,NA,NA
"11191","Levaillant's Cisticola","Cisticole a sonnette","Cisticola tinniens","Cisticola de Levaillant",NA,NA,NA,NA,NA,NA
"11192","Stout Cisticola","Cisticole robuste","Cisticola robustus","Cisticola Robusto",NA,NA,NA,NA,NA,NA
"11193","Stout Cisticola (Western)","Cisticole robuste (santae)","Cisticola robustus santae","Cisticola Robusto (santae)",NA,NA,NA,NA,NA,NA
"11194","Stout Cisticola (Stout)","Cisticole robuste (robustus/schraderi)","Cisticola robustus robustus/schraderi","Cisticola Robusto (robustus/schraderi)",NA,NA,NA,NA,NA,NA
"11195","Stout Cisticola (Omo)","Cisticole robuste (omo)","Cisticola robustus omo","Cisticola Robusto (omo)",NA,NA,NA,NA,NA,NA
"11196","Stout Cisticola (Rufous-crowned)","Cisticole robuste (nuchalis/awemba)","Cisticola robustus nuchalis/awemba","Cisticola Robusto (nuchalis/awemba)",NA,NA,NA,NA,NA,NA
"11197","Stout Cisticola (Angola)","Cisticole robuste (angolensis)","Cisticola robustus angolensis","Cisticola Robusto (angolensis)",NA,NA,NA,NA,NA,NA
"11198","Croaking Cisticola","Cisticole striee","Cisticola natalensis","Cisticola de Natal",NA,NA,NA,NA,NA,NA
"11199","Piping Cisticola","Cisticole a couronne rousse","Cisticola fulvicapilla","Cisticola Coronirrufo",NA,NA,NA,NA,NA,NA
"11200","Aberdare Cisticola","Cisticole des Aberdare","Cisticola aberdare","Cisticola de Los Aberdare",NA,NA,NA,NA,NA,NA
"11201","Tabora Cisticola","Cisticole a queue fine","Cisticola angusticauda","Cisticola Colifino",NA,NA,NA,NA,NA,NA
"11202","Slender-tailed Cisticola","Cisticole a queue noire","Cisticola melanurus","Cisticola Colinegro",NA,NA,NA,NA,NA,NA
"11203","Siffling Cisticola","Cisticole a ailes courtes","Cisticola brachypterus","Cisticola Alicorto",NA,NA,NA,NA,NA,NA
"11204","Rufous Cisticola","Cisticole rousse","Cisticola rufus","Cisticola Rojizo",NA,NA,NA,NA,NA,NA
"11205","Foxy Cisticola","Cisticole russule","Cisticola troglodytes","Cisticola Zorruno",NA,NA,NA,NA,NA,NA
"11206","Tiny Cisticola","Cisticole naine","Cisticola nana","Cisticola Enano",NA,NA,NA,NA,NA,NA
"11207","Zitting Cisticola","Cisticole des joncs","Cisticola juncidis","Cisticola Buitron",2673,11.99,1275,5.72,NA,NA
"11208","Zitting Cisticola (Western)","Cisticole des joncs (groupe juncidis)","Cisticola juncidis [juncidis Group]","Cisticola Buitron (buitron)",NA,NA,NA,NA,NA,NA
"11209","Zitting Cisticola (African)","Cisticole des joncs (terrestris/uropygialis)","Cisticola juncidis terrestris/uropygialis","Cisticola Buitron (africano)",NA,NA,NA,NA,NA,NA
"11210","Zitting Cisticola (Double Zitting)","Cisticole des joncs (groupe tinnabulans)","Cisticola juncidis [tinnabulans Group]","Cisticola Buitron (grupo tinnabulans)",NA,NA,NA,NA,NA,NA
"11211","Zitting Cisticola (Far Eastern)","Cisticole des joncs (brunniceps)","Cisticola juncidis brunniceps","Cisticola Buitron (este)",NA,NA,NA,NA,NA,NA
"11212","Socotra Cisticola","Cisticole de Socotra","Cisticola haesitatus","Cisticola de Socotra",NA,NA,NA,NA,NA,NA
"11213","Madagascar Cisticola","Cisticole malgache","Cisticola cherina","Cisticola Malgache",NA,NA,NA,NA,NA,NA
"11214","Desert Cisticola","Cisticole du desert","Cisticola aridulus","Cisticola del Kalahari",NA,NA,NA,NA,NA,NA
"11215","Cloud Cisticola","Cisticole pinc-pinc","Cisticola textrix","Cisticola Pinc-Pinc",NA,NA,NA,NA,NA,NA
"11216","Cloud Cisticola (Cloud)","Cisticole pinc-pinc (groupe major)","Cisticola textrix [major Group]","Cisticola Pinc-Pinc (grupo major)",NA,NA,NA,NA,NA,NA
"11217","Cloud Cisticola (Cape)","Cisticole pinc-pinc (textrix)","Cisticola textrix textrix","Cisticola Pinc-Pinc (textrix)",NA,NA,NA,NA,NA,NA
"11218","Black-backed Cisticola","Cisticole a dos noir","Cisticola eximius","Cisticola Dorsinegro",NA,NA,NA,NA,NA,NA
"11219","Black-backed Cisticola (winneba)","Cisticole a dos noir (winneba)","Cisticola eximius winneba","Cisticola Dorsinegro (winneba)",NA,NA,NA,NA,NA,NA
"11220","Black-backed Cisticola (Black-backed)","Cisticole a dos noir (eximius/occidens)","Cisticola eximius eximius/occidens","Cisticola Dorsinegro (eximius/occidens)",NA,NA,NA,NA,NA,NA
"11221","Cloud-scraping Cisticola","Cisticole dambo","Cisticola dambo","Cisticola Dambo",NA,NA,NA,NA,NA,NA
"11222","Pectoral-patch Cisticola","Cisticole brune","Cisticola brunnescens","Cisticola Pectoral",NA,NA,NA,NA,NA,NA
"11223","Pectoral-patch Cisticola (Lynes's)","Cisticole brune (lynesi/mbangensis)","Cisticola brunnescens lynesi/mbangensis","Cisticola Pectoral (lynesi/mbangensis)",NA,NA,NA,NA,NA,NA
